,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,train_rmse_mean,train_rmse_std,val_rmse_mean,val_rmse_std
0,20.0,sqrt,1,3,250,185.70340989715928,4.5852322153215805,547.1123238865705,59.268515436517795
1,20.0,sqrt,1,3,300,183.76122257223926,4.297806480638663,543.5385928615573,59.09938063192012
2,20.0,sqrt,1,3,350,183.9029350197385,4.101585107804195,541.3037395203033,59.32860621221629
3,20.0,sqrt,1,4,250,204.35504643550266,5.357651125532624,531.7626054460517,58.80293371481243
4,20.0,sqrt,1,4,300,203.45502347356629,5.171633102710733,532.5039382273127,58.445844656811744
5,20.0,sqrt,1,4,350,203.12168272499477,4.503124295171679,533.8576329359115,58.762106960901384
6,20.0,sqrt,1,5,250,221.15375484914216,5.304365563647121,541.5411568252084,56.5604838193236
7,20.0,sqrt,1,5,300,219.83847018735676,4.903323126968763,542.5665574724093,55.17675366925093
8,20.0,sqrt,1,5,350,220.27609862095824,4.5279823083526995,543.2307263833941,56.55459570301889
9,20.0,log2,1,3,250,188.57530254043718,4.092229060526684,540.7387511742023,55.37911141403622
10,20.0,log2,1,3,300,187.474292682979,3.6974531790634484,540.9293661349049,56.15602015929017
11,20.0,log2,1,3,350,187.43203794654838,2.690265516555152,539.1138624089198,57.229098380173966
12,20.0,log2,1,4,250,207.56963305119896,4.854286283673465,540.9678078524693,61.27756202005864
13,20.0,log2,1,4,300,206.45372338487994,4.815484424073452,541.4503381564244,62.04663337250101
14,20.0,log2,1,4,350,206.6577114757009,4.3030557010157535,541.3129700053775,62.27871280047849
15,20.0,log2,1,5,250,226.8507652923455,6.0353095347624075,538.9422217511252,56.358502776038556
16,20.0,log2,1,5,300,225.94190272432664,5.478529482531026,539.2595771759933,54.89105027207941
17,20.0,log2,1,5,350,226.3170286738298,4.594898672187842,541.07928635688,54.884894965258624
18,25.0,sqrt,1,3,250,185.66625851227013,4.478139355692726,547.283004224896,59.38685103630915
19,25.0,sqrt,1,3,300,183.75718586132726,4.181317535509756,543.6949687579817,59.2629557492984
